Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters
Period Ending,"Oct '24 Oct 26, 2024","Jul '24 Jul 27, 2024","Apr '24 Apr 27, 2024","Jan '24 Jan 27, 2024","Oct '23 Oct 28, 2023","Jul '23 Jul 29, 2023","Apr '23 Apr 29, 2023","Jan '23 Jan 28, 2023","Oct '22 Oct 29, 2022","Jul '22 Jul 30, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 29, 2022","Oct '21 Oct 30, 2021","Jul '21 Jul 31, 2021","May '21 May 1, 2021","Jan '21 Jan 23, 2021","Oct '20 Oct 24, 2020","Jul '20 Jul 25, 2020","Apr '20 Apr 25, 2020","Jan '20 Jan 25, 2020",+20 Quarters
Cash & Equivalents,9065,7508,8913,13715,9602,10123,8044,9009,7292,7079,6952,6731,7619,9175,7350,11793,10822,11809,10366,8475,Upgrade
Short-Term Investments,10356,11096,10607,12519,14296,16211,15244,13052,12492,12188,13156,14382,15727,15343,16229,18795,19190,17610,18208,18587,Upgrade
Trading Asset Securities,2,-,-,-,-,-,-,-,-,-,1,3,6,9,-,1,4,6,9,-,Upgrade
Cash & Short-Term Investments,19423,18604,19520,26234,23898,26334,23288,22061,19784,19267,20109,21116,23352,24527,23579,30589,30016,29425,28583,27062,Upgrade
Cash Growth,-18.73%,-29.35%,-16.18%,18.92%,20.79%,36.68%,15.81%,4.48%,-15.28%,-21.45%,-14.72%,-30.97%,-22.20%,-16.65%,-17.51%,13.03%,7.06%,-11.94%,-17.49%,-32.99%,Upgrade
Accounts Receivable,7580,10023,8570,8360,8247,9206,8506,8794,9122,10527,9587,10000,9376,10146,9073,9334,9085,10523,9272,9157,Upgrade
Other Receivables,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262,39,57,-,12,-,Upgrade
Receivables,7580,10023,8570,8360,8247,9206,8506,8794,9122,10527,9587,10000,9376,10146,9335,9373,9142,10523,9284,9157,Upgrade
Inventory,3143,3373,3118,3209,3342,3644,3474,3140,2664,2568,2231,2059,1832,1559,1579,1436,1303,1282,1212,1353,Upgrade
Restricted Cash,763,765,765,565,378,191,2,-,-,-,7,11,10,14,6,7,3,-,1,21,Upgrade
Other Current Assets,4843,4097,3913,3759,3794,3973,4680,4520,4571,4355,4047,3613,3018,2866,2561,2506,2525,2343,2227,2460,Upgrade
Total Current Assets,35752,36862,35886,42127,39659,43348,39950,38515,36141,36717,35981,36799,37588,39112,37060,43911,42989,43573,41307,40053,Upgrade
"Property, Plant & Equipment",3174,3156,3008,2983,3001,3056,3064,2942,2901,3000,3070,3218,3356,3433,3295,3360,3365,3374,3465,3821,Upgrade
Long-Term Investments,2175,2363,2350,2538,2925,3113,3300,3300,3300,3400,2650,2596,2525,849,1516,1440,1551,169,1424,1305,Upgrade
Goodwill,58774,58660,58633,39087,38900,38535,38369,38388,38160,38304,38452,38679,38802,38168,37690,34733,34535,33806,33453,33612,Upgrade
Other Intangible Assets,10744,11219,11819,1678,1914,1818,1966,2134,2360,2569,2811,3079,3350,3619,3716,1462,1581,1576,1744,1906,Upgrade
Long-Term Accounts Receivable,3411,3376,3251,3364,3324,3483,3393,3554,3618,4009,3959,4024,4546,4884,5068,5100,5516,5714,4770,4757,Upgrade
Long-Term Deferred Tax Assets,6514,6262,5527,7338,7102,6576,5817,5321,4891,4449,4276,4269,4198,4360,4070,4109,4138,3990,3909,3896,Upgrade
Other Long-Term Assets,2789,2515,2524,2059,1957,1923,1670,1686,1683,1554,1598,1598,1616,3072,1481,1486,1328,2651,1322,1076,Upgrade
Total Assets,123333,124413,122998,101174,98782,101852,97529,95840,93054,94002,92797,94262,95981,97497,93896,95601,95003,94853,91394,90426,Upgrade
Accounts Payable,2435,2802,2604,2386,2594,2842,2967,2779,2696,2594,2525,2300,2440,2513,2569,2019,2451,2359,2524,2061,Upgrade
Accrued Expenses,2861,3608,3211,3216,3039,3984,3352,3187,2907,3316,3032,3364,3231,3818,3327,3295,2978,3122,2940,2690,Upgrade
Short-Term Debt,11870,10853,11891,3939,-,-,-,-,-,600,-,2000,-,-,-,-,-,-,-,-,Upgrade
Current Portion of Long-Term Debt,502,499,-,1000,1000,1750,1749,1250,1249,499,1000,502,506,2508,2000,5000,5002,3005,4506,1499,Upgrade
Current Portion of Leases,357,364,344,330,302,313,321,337,308,322,334,376,353,337,335,366,332,341,344,380,Upgrade
Current Income Taxes Payable,2096,1439,1867,1876,2380,4235,3132,2200,890,961,852,837,816,801,753,763,810,839,1047,819,Upgrade
Current Unearned Revenue,15615,16249,15751,14011,13812,13908,13249,13109,12578,12784,12249,12268,12017,12148,11492,11552,11271,11406,10710,10638,Upgrade
Other Current Liabilities,4806,4770,4440,4093,3908,4277,3949,4390,4268,4564,4158,4268,3875,4132,3786,4273,4147,4259,3866,4001,Upgrade
Total Current Liabilities,40542,40584,40108,30851,27035,31309,28719,27252,24896,25640,24150,25915,23238,26257,24262,27268,26991,25331,25937,22088,Upgrade
Long-Term Debt,19623,19621,20118,6684,6682,6682,6681,7679,7678,8426,8425,8969,8996,9018,9532,9554,9564,11578,11578,14494,Upgrade
Long-Term Leases,938,906,861,703,741,707,742,691,667,724,739,763,834,831,671,688,695,661,654,698,Upgrade
Long-Term Unearned Revenue,11887,12226,11724,11760,11847,11642,11011,10818,10441,10480,10044,10045,10055,10016,9397,9294,9202,9040,7938,8048,Upgrade
Long-Term Deferred Tax Liabilities,-,76,-,-,-,62,-,-,-,55,-,-,-,134,-,-,-,81,-,-,Upgrade
Other Long-Term Liabilities,5066,5543,4419,4925,7267,7097,8081,7926,9100,8904,9039,9074,10157,9966,9829,9676,10394,10242,9579,9565,Upgrade
Total Liabilities,78056,78956,77230,54923,53572,57499,55234,54366,52782,54229,52397,54766,53280,56222,53691,56480,56846,56933,55686,54893,Upgrade
Common Stock,45991,45800,45343,45002,44546,44289,43639,43424,42984,42714,42587,42291,42621,42346,41949,41690,41360,41202,40691,40617,Upgrade
Retained Earnings,662,1087,2055,2761,2689,1639,262,-364,-594,-1319,-724,-2006,553,-654,-1456,-2351,-2756,-2763,-3874,-4384,Upgrade
Comprehensive Income & Other,-1376,-1430,-1630,-1512,-2025,-1575,-1606,-1586,-2118,-1622,-1463,-789,-473,-417,-288,-218,-447,-519,-1109,-700,Upgrade
Total Common Equity,45277,45457,45768,46251,45210,44353,42295,41474,40272,39773,40400,39496,42701,41275,40205,39121,38157,37920,35708,35533,Upgrade
Shareholders' Equity,45277,45457,45768,46251,45210,44353,42295,41474,40272,39773,40400,39496,42701,41275,40205,39121,38157,37920,35708,35533,Upgrade
Total Liabilities & Equity,123333,124413,122998,101174,98782,101852,97529,95840,93054,94002,92797,94262,95981,97497,93896,95601,95003,94853,91394,90426,Upgrade
Total Debt,33290,32243,33214,12656,8725,9452,9493,9957,9902,10571,10498,12610,10689,12694,12538,15608,15593,15585,17082,17071,Upgrade
Net Cash (Debt),-13867,-13639,-13694,13578,15173,16882,13795,12104,9882,8696,9611,8506,12663,11833,11041,14981,14423,13840,11501,9991,Upgrade
Net Cash Growth,-,-,-,12.18%,53.54%,94.14%,43.53%,42.30%,-21.96%,-26.51%,-12.95%,-43.22%,-12.20%,-14.50%,-4.00%,49.94%,71.87%,58.24%,5.19%,-32.15%,Upgrade
Net Cash Per Share,-3.46,-3.38,-3.37,3.33,3.71,4.12,3.36,2.94,2.40,2.10,2.30,2.02,2.98,2.79,2.61,3.54,3.40,3.26,2.71,2.35,Upgrade
Filing Date Shares Outstanding,3983,3991,4029,4049,4063,4055,4075,4096,4108,4109,4141,4154,4218,4218,4214,4222,4226,4233,4222,4241,Upgrade
Total Common Shares Outstanding,3974,4007,4031,4050,4049,4066,4075,4095,4103,4110,4149,4151,4217,4217,4215,4221,4222,4237,4220,4241,Upgrade
Working Capital,-4790,-3722,-4222,11276,12624,12039,11231,11263,11245,11077,11831,10884,14350,12855,12798,16643,15998,18242,15370,17965,Upgrade
Book Value Per Share,11.39,11.34,11.35,11.42,11.17,10.91,10.38,10.13,9.82,9.68,9.74,9.51,10.13,9.79,9.54,9.27,9.04,8.95,8.46,8.38,Upgrade
Tangible Book Value,-24241,-24422,-24684,5486,4396,4000,1960,952,-248,-1100,-863,-2262,549,-512,-1201,2926,2041,2538,511,15,Upgrade
Tangible Book Value Per Share,-6.10,-6.09,-6.12,1.35,1.09,0.98,0.48,0.23,-0.06,-0.27,-0.21,-0.54,0.13,-0.12,-0.28,0.69,0.48,0.60,0.12,0.00,Upgrade
Land,4267,4247,4221,4214,4194,4229,4258,4263,4193,4219,4243,4293,4310,4304,4309,4291,4273,4252,4405,4438,Upgrade
Machinery,5491,5511,5455,5496,5485,5694,5691,5680,5673,5761,5912,6084,6261,6341,6389,6432,6414,6425,6384,6488,Upgrade
